Taxname,Taxid,GI,Accession,DNA type,Length,GC,Random
Bacillus halodurans C-125,272558,47118318,BA000004.3,Genome,4202352,43.6855123036,84368
Bacillus infantis NRRL B-14911,1367477,548702603,CP006643.1,Genome,4884713,46.0332674612,1380
Bacillus sp. JS,1127744,384929862,CP003492.1,Genome,4120406,43.9267635277,93676
Bacillus licheniformis 9945A,766760,510140713,CP005965.1,Genome,4376305,45.9226676386,86731
Bacillus licheniformis DSM 13,279010,145902672,CP000002.3,Genome,4222597,46.1943917452,9489
Bacillus licheniformis DSM 13,279010,52346357,AE017333.1,Genome,4222645,46.1947428685,74045
Bacillus megaterium DSM 319,592022,294799901,CP001982.1,Genome,5097447,38.1316372686,23633
Bacillus megaterium QM B1551,545693,294346812,CP001983.1,Genome,5097129,38.2568108439,23844
Bacillus megaterium QM B1551,545693,294351929,CP001984.1,Plasmid,5428,34.8378776713,23844
Bacillus megaterium QM B1551,545693,294351934,CP001985.1,Plasmid,9098,34.5020883711,23844
Bacillus megaterium QM B1551,545693,294351945,CP001986.1,Plasmid,26587,35.4985519239,23844
Bacillus megaterium QM B1551,545693,294351974,CP001987.1,Plasmid,53865,36.4708066462,23844
Bacillus megaterium QM B1551,545693,294352015,CP001988.1,Plasmid,66985,33.9105769948,23844
Bacillus megaterium QM B1551,545693,294352110,CP001989.1,Plasmid,99694,32.9718939956,23844
Bacillus megaterium QM B1551,545693,294352220,CP001990.1,Plasmid,164406,33.4853959101,23844
Bacillus megaterium WSH-002,1006007,345441867,CP003017.1,Genome,4983975,38.2390160464,94030
Bacillus megaterium WSH-002,1006007,345447048,CP003018.1,Plasmid,74613,35.9990886307,94030
Bacillus megaterium WSH-002,1006007,345447118,CP003019.1,Plasmid,9699,32.2198164759,94030
Bacillus megaterium WSH-002,1006007,345447130,CP003020.1,Plasmid,7006,33.2143876677,94030
Bacillus pseudofirmus OF4,398511,315111345,CP001878.2,Genome,3858997,40.2673544447,35462
Bacillus pseudofirmus OF4,398511,288548108,CP001879.1,Plasmid,285222,35.9789918029,35462
Bacillus pseudofirmus OF4,398511,288548401,CP001880.1,Plasmid,105029,35.4549695798,35462
Bacillus selenitireducens MLS10,439292,297140795,CP001791.1,Genome,3592487,48.6699603923,20307
Bacillus subtilis subsp. subtilis 6051-HGW,1147161,459387757,CP003329.1,Genome,4215610,43.5147463831,41953
Bacillus subtilis subsp. subtilis str. BAB-1,1302650,472252740,CP004405.1,Genome,4021944,43.8888507647,19877
Bacillus subtilis BEST7613,1204343,407955691,AP012495.1,Genome,7585470,45.7271863181,37482
Bacillus subtilis BSn5,936156,320017650,CP002468.1,Genome,4093599,43.8473089328,12019
Bacillus subtilis subsp. subtilis str. BSP1,1192196,430020011,CP003695.1,Genome,4043754,43.8659226056,1477
Bacillus subtilis subsp. natto BEST195,645657,291482369,AP011541.1,Genome,4091591,42.6212688414,72826
Bacillus subtilis subsp. natto BEST195,645657,291486745,AP011542.1,Plasmid,5838,40.7502569373,72826
Bacillus subtilis PY79,1415167,558566549,CP006881.1,Genome,4033459,43.8319814333,88156
Bacillus subtilis QB928,1220533,402479429,CP003783.1,Genome,4146839,43.6073114968,63737
Bacillus subtilis subsp. subtilis str. RO-NN-1,1052588,349592885,CP002906.1,Genome,4011949,43.8665596198,2091
Bacillus subtilis subsp. spizizenii TU-B-10,1052585,349596987,CP002905.1,Genome,4207222,43.8234778198,44819
Bacillus subtilis subsp. spizizenii str. W23,655816,305410941,CP002183.1,Genome,4027676,43.8906456229,71109
Bacillus subtilis subsp. subtilis str. 168,224308,225184640,AL009126.3,Genome,4215606,43.5144081302,79090
Bacillus subtilis XF-1,1233100,449026629,CP004019.1,Genome,4061186,43.8597000975,57836
Bacillus thuringiensis str. Al Hakam,412694,118415003,CP000485.1,Genome,5257091,35.4260940128,56681
Bacillus thuringiensis str. Al Hakam,412694,118419740,CP000486.1,Plasmid,55939,36.1518797261,56681
Bacillus thuringiensis BMB171,714359,296321890,CP001903.1,Genome,5330088,35.288404244,23613
Bacillus thuringiensis BMB171,714359,296326969,CP001904.1,Plasmid,312963,33.2700670686,23613
Bacillus thuringiensis Bt407,527021,409171506,CP003889.1,Genome,5500501,35.4071201878,29040
Bacillus thuringiensis Bt407,527021,409177032,CP003890.1,Plasmid,501911,31.5183369163,29040
Bacillus thuringiensis Bt407,527021,409177769,CP003891.1,Plasmid,77895,32.2857693048,29040
Bacillus thuringiensis Bt407,527021,409177860,CP003892.1,Plasmid,15189,35.650799921,29040
Bacillus thuringiensis Bt407,527021,409177876,CP003893.1,Plasmid,8240,29.7451456311,29040
Bacillus thuringiensis Bt407,527021,409177882,CP003894.1,Plasmid,7635,32.2069417158,29040
Bacillus thuringiensis Bt407,527021,409177892,CP003895.1,Plasmid,6880,31.7587209302,29040
Bacillus thuringiensis Bt407,527021,409177898,CP003896.1,Plasmid,5518,31.6237767307,29040
Bacillus thuringiensis Bt407,527021,409177903,CP003897.1,Plasmid,2062,34.8205625606,29040
Bacillus thuringiensis Bt407,527021,409177907,CP003898.1,Plasmid,8513,30.7882062728,29040
Bacillus thuringiensis HD-771,1218175,401787476,CP003752.1,Genome,5886036,35.1646676983,42766
Bacillus thuringiensis HD-771,1218175,401793462,CP003753.1,Plasmid,171030,32.9708238321,42766
Bacillus thuringiensis HD-771,1218175,401793635,CP003754.1,Plasmid,168999,33.1723856354,42766
Bacillus thuringiensis HD-771,1218175,401793805,CP003755.1,Plasmid,69876,34.315072414,42766
Bacillus thuringiensis HD-771,1218175,401793885,CP003756.1,Plasmid,65470,32.0070261188,42766
Bacillus thuringiensis HD-771,1218175,401793960,CP003757.1,Plasmid,45262,36.0235959525,42766
Bacillus thuringiensis HD-771,1218175,401794022,CP003758.1,Plasmid,14056,35.2305065452,42766
Bacillus thuringiensis HD-771,1218175,401794037,CP003759.1,Plasmid,9070,33.4950385888,42766
Bacillus thuringiensis HD-771,1218175,401794045,CP003760.1,Plasmid,8574,30.0676463728,42766
Bacillus thuringiensis HD-789,1217737,401872063,CP003763.1,Genome,5495278,35.2631841374,33227
Bacillus thuringiensis HD-789,1217737,401877615,CP003764.1,Plasmid,349599,33.3516400219,33227
Bacillus thuringiensis HD-789,1217737,401878050,CP003765.1,Plasmid,235425,36.5882977594,33227
Bacillus thuringiensis HD-789,1217737,401878291,CP003766.1,Plasmid,224872,33.0512469316,33227
Bacillus thuringiensis HD-789,1217737,401878495,CP003767.1,Plasmid,14935,39.7388684299,33227
Bacillus thuringiensis HD-789,1217737,401878518,CP003768.1,Plasmid,7697,35.2604911004,33227
Bacillus thuringiensis HD-789,1217737,401878527,CP003769.1,Plasmid,6824,35.9906213365,33227
Bacillus thuringiensis serovar konkukian str. 97-27,281309,49328240,AE017355.1,Genome,5237682,35.4053377047,83485
Bacillus thuringiensis serovar konkukian str. 97-27,281309,56800306,CP000047.1,Plasmid,77112,32.6408341114,83485
Bacillus thuringiensis MC28,1195464,407380921,CP003687.1,Genome,5414494,35.4114715059,58395
Bacillus thuringiensis MC28,1195464,407386366,CP003688.1,Plasmid,7826,32.1109123435,58395
Bacillus thuringiensis MC28,1195464,407386377,CP003689.1,Plasmid,54484,34.7312972616,58395
Bacillus thuringiensis MC28,1195464,407386450,CP003690.1,Plasmid,95433,34.0165351608,58395
Bacillus thuringiensis MC28,1195464,407386552,CP003691.1,Plasmid,183210,32.8470061678,58395
Bacillus thuringiensis MC28,1195464,407386763,CP003692.1,Plasmid,189702,33.4118775764,58395
Bacillus thuringiensis MC28,1195464,407386949,CP003693.1,Plasmid,319710,32.4763066529,58395
Bacillus thuringiensis MC28,1195464,407387239,CP003694.1,Plasmid,429674,32.5667831891,58395
Bacillus thuringiensis serovar chinensis CT-43,541229,326937797,CP001907.1,Genome,5486830,35.3758363208,80958
Bacillus thuringiensis serovar chinensis CT-43,541229,326943287,CP001908.1,Plasmid,127885,32.0866403409,80958
Bacillus thuringiensis serovar chinensis CT-43,541229,326943429,CP001909.1,Plasmid,14860,31.467025572,80958
Bacillus thuringiensis serovar chinensis CT-43,541229,326943452,CP001910.1,Plasmid,281231,33.0063186491,80958
Bacillus thuringiensis serovar chinensis CT-43,541229,326943724,CP001911.1,Plasmid,51488,34.9673710379,80958
Bacillus thuringiensis serovar chinensis CT-43,541229,326943797,CP001912.1,Plasmid,6880,31.7587209302,80958
Bacillus thuringiensis serovar chinensis CT-43,541229,326943804,CP001913.1,Plasmid,72074,32.0420678747,80958
Bacillus thuringiensis serovar chinensis CT-43,541229,326943891,CP001914.1,Plasmid,8252,32.4163839069,80958
Bacillus thuringiensis serovar chinensis CT-43,541229,326943900,CP001915.1,Plasmid,83590,33.1546835746,80958
Bacillus thuringiensis serovar chinensis CT-43,541229,326943997,CP001916.1,Plasmid,8513,30.7882062728,80958
Bacillus thuringiensis serovar chinensis CT-43,541229,326944008,CP001917.1,Plasmid,9547,33.0889284592,80958
Bacillus thuringiensis serovar finitimus YBT-020,930170,324323994,CP002508.1,Genome,5355490,35.5394744458,36578
Bacillus thuringiensis serovar finitimus YBT-020,930170,324323655,CP002509.1,Plasmid,187880,33.1142218437,36578
Bacillus thuringiensis serovar finitimus YBT-020,930170,324323847,CP002510.1,Plasmid,139013,33.8838813636,36578
Bacillus thuringiensis serovar thuringiensis str. IS5056,1286404,452101774,CP004123.1,Genome,5491935,35.3845593584,78126
Bacillus thuringiensis serovar thuringiensis str. IS5056,1286404,452107392,CP004124.1,Plasmid,6880,31.7587209302,78126
Bacillus thuringiensis serovar thuringiensis str. IS5056,1286404,452107399,CP004125.1,Plasmid,8251,32.4203126894,78126
Bacillus thuringiensis serovar thuringiensis str. IS5056,1286404,452107413,CP004126.1,Plasmid,9671,33.0369144866,78126
Bacillus thuringiensis serovar thuringiensis str. IS5056,1286404,452107808,CP004127.1,Plasmid,11331,31.5770894008,78126
Bacillus thuringiensis serovar thuringiensis str. IS5056,1286404,452108494,CP004128.1,Plasmid,15185,35.6536055318,78126
Bacillus thuringiensis serovar thuringiensis str. IS5056,1286404,452108655,CP004129.1,Plasmid,16206,33.3395038874,78126
Bacillus thuringiensis serovar thuringiensis str. IS5056,1286404,452108674,CP004130.1,Plasmid,39749,34.8511912249,78126
Bacillus thuringiensis serovar thuringiensis str. IS5056,1286404,452108724,CP004131.1,Plasmid,63864,34.6830765376,78126
Bacillus thuringiensis serovar thuringiensis str. IS5056,1286404,452108786,CP004132.1,Plasmid,68616,31.8132797015,78126
Bacillus thuringiensis serovar thuringiensis str. IS5056,1286404,452108876,CP004133.1,Plasmid,85134,33.2088237367,78126
Bacillus thuringiensis serovar thuringiensis str. IS5056,1286404,452108988,CP004134.1,Plasmid,107431,31.0459736947,78126
Bacillus thuringiensis serovar thuringiensis str. IS5056,1286404,452109119,CP004135.1,Plasmid,233730,32.7129593976,78126
Bacillus thuringiensis serovar thuringiensis str. IS5056,1286404,452109306,CP004136.1,Plasmid,285459,33.0222553852,78126
Bacillus thuringiensis serovar thuringiensis str. IS5056,1286404,452109601,CP004137.1,Plasmid,328151,32.591398472,78126
Bacillus thuringiensis serovar kurstaki str. HD73,1279365,449020427,CP004069.1,Genome,5646799,35.2786773533,19051
Bacillus thuringiensis serovar kurstaki str. HD73,1279365,449026320,CP004070.1,Plasmid,77351,34.6588925806,19051
Bacillus thuringiensis serovar kurstaki str. HD73,1279365,449026395,CP004071.1,Plasmid,76490,30.7778794614,19051
Bacillus thuringiensis serovar kurstaki str. HD73,1279365,449026491,CP004072.1,Plasmid,71777,33.7642977555,19051
Bacillus thuringiensis serovar kurstaki str. HD73,1279365,449026565,CP004073.1,Plasmid,11769,31.8123884782,19051
Bacillus thuringiensis serovar kurstaki str. HD73,1279365,449026592,CP004074.1,Plasmid,8513,30.7882062728,19051
Bacillus thuringiensis serovar kurstaki str. HD73,1279365,449026609,CP004075.1,Plasmid,8241,29.7294017716,19051
Bacillus thuringiensis serovar kurstaki str. HD73,1279365,449026620,CP004076.1,Plasmid,7635,32.2069417158,19051
Bacillus thuringiensis YBT-1518,529122,441482598,CP002486.1,Plasmid,17706,29.5154185022,32353
Bacillus thuringiensis YBT-1518,529122,558577101,CP005935.1,Genome,6002284,35.4182674462,32353
Bacillus thuringiensis YBT-1518,529122,558583128,CP005936.1,Plasmid,45206,36.5393974251,32353
Bacillus thuringiensis YBT-1518,529122,558583222,CP005937.1,Plasmid,49195,33.6741538774,32353
Bacillus thuringiensis YBT-1518,529122,558583543,CP005938.1,Plasmid,146276,33.9043999016,32353
Bacillus thuringiensis YBT-1518,529122,558583985,CP005939.1,Plasmid,171593,33.8172303066,32353
Bacillus thuringiensis YBT-1518,529122,558584475,CP005940.1,Plasmid,240661,35.0156444127,32353
Bacillus toyonensis BCT-7112,1415784,557472186,CP006863.1,Genome,4940474,35.6033449422,39564
Bacillus toyonensis BCT-7112,1415784,557477095,CP006864.1,Plasmid,76974,32.9318990828,39564
Bacillus toyonensis BCT-7112,1415784,557477180,CP006865.1,Plasmid,7971,31.4013298206,39564
Kyrpidia tusciae DSM 2912,562970,295410288,CP002017.1,Genome,3384766,59.1141307848,68444
Bacillus weihenstephanensis KBAB4,315730,163860210,CP000903.1,Genome,5262775,35.5615621036,48297
Bacillus weihenstephanensis KBAB4,315730,163865366,CP000904.1,Plasmid,417054,33.6654246213,48297
Bacillus weihenstephanensis KBAB4,315730,163865656,CP000905.1,Plasmid,75107,33.3484229166,48297
Bacillus weihenstephanensis KBAB4,315730,163865720,CP000906.1,Plasmid,64977,43.359958139,48297
Bacillus weihenstephanensis KBAB4,315730,163865796,CP000907.1,Plasmid,52830,35.3700548931,48297
Clostridium acetobutylicum DSM 1731,991791,336289872,CP002660.1,Genome,3942462,30.9272479988,45713
Clostridium acetobutylicum DSM 1731,991791,336293610,CP002661.1,Plasmid,191996,30.9121023355,45713
Clostridium acetobutylicum DSM 1731,991791,336293787,CP002662.1,Plasmid,11123,25.919266385,45713
Clostridium acetobutylicum EA 2018,863638,325507407,CP002118.1,Genome,3940230,30.9261895879,81533
Clostridium acetobutylicum EA 2018,863638,325511148,CP002119.1,Plasmid,191996,30.9100189587,81533
Clostridium acetobutylicum ATCC 824,272562,25168256,AE001437.1,Genome,3940880,30.9257830738,67121
Clostridium acetobutylicum ATCC 824,272562,14994317,AE001438.3,Plasmid,192000,30.9114583333,67121
Clostridium acidurici 9a,1128398,407049040,CP003326.1,Genome,3105335,29.9346447324,18580
Clostridium acidurici 9a,1128398,407051880,CP003327.1,Plasmid,2913,28.8019224168,18580
Clostridium autoethanogenum DSM 10061,1341692,553904187,CP006763.1,Genome,4352205,31.0918947982,88807
Clostridium beijerinckii NCIMB 8052,290402,149901357,CP000721.1,Genome,6000632,29.8555885447,66107
Clostridium sp. BNL1100,755731,373943374,CP003259.1,Genome,4613747,37.2556622632,55712
Clostridium botulinum A2 str. Kyoto,536232,226840737,CP001581.1,Genome,4155278,28.2110125965,52727
Clostridium botulinum A3 str. Loch Maree,498214,169405180,CP000962.1,Genome,3992906,28.310859309,89890
Clostridium botulinum A3 str. Loch Maree,498214,169408836,CP000963.1,Plasmid,266785,25.6359990254,89890
Clostridium botulinum A str. ATCC 19397,441770,152926829,CP000726.1,Genome,3863450,28.2053346103,74708
Clostridium botulinum A str. Hall,441771,152930382,CP000727.1,Genome,3760560,28.1847118514,75534
Clostridium botulinum A str. ATCC 3502,413999,148287495,AM412317.1,Genome,3886916,28.2446803584,22708
Clostridium botulinum A str. ATCC 3502,413999,148291070,AM412318.1,Plasmid,16344,26.8049437102,22708
Clostridium botulinum B1 str. Okra,498213,169119423,CP000939.1,Genome,3958233,28.3359266622,64257
Clostridium botulinum B1 str. Okra,498213,169123081,CP000940.1,Plasmid,148780,25.3562306762,64257
Clostridium botulinum Ba4 str. 657,515621,229260093,CP001081.1,Plasmid,270022,25.6034693469,62721
Clostridium botulinum Ba4 str. 657,515621,229260400,CP001082.1,Plasmid,9953,24.0731437757,62721
Clostridium botulinum Ba4 str. 657,515621,229260409,CP001083.1,Genome,3977794,28.2200888231,62721
Clostridium botulinum B str. Eklund 17B,508765,187720473,CP001056.1,Genome,3800327,27.5113694164,22289
Clostridium botulinum B str. Eklund 17B,508765,187723947,CP001057.1,Plasmid,47642,24.9527727635,22289
Clostridium botulinum BKT015925,929506,329124738,CP002410.1,Genome,2773157,28.4896599796,19709
Clostridium botulinum BKT015925,929506,329127257,CP002411.1,Plasmid,203287,26.4537328998,19709
Clostridium botulinum BKT015925,929506,329127479,CP002412.1,Plasmid,98732,26.1364096747,19709
Clostridium botulinum BKT015925,929506,329127583,CP002413.1,Plasmid,80365,26.8002239781,19709
Clostridium botulinum BKT015925,929506,329127670,CP002414.1,Plasmid,39648,28.0972558515,19709
Clostridium botulinum BKT015925,929506,329127724,CP002415.1,Plasmid,12403,26.2517132952,19709
Clostridium botulinum E3 str. Alaska E43,508767,188497817,CP001078.1,Genome,3659644,27.3612406015,67846
Clostridium botulinum F str. 230613,758678,295317476,CP002011.1,Genome,3993083,28.3032183403,46300
Clostridium botulinum F str. 230613,758678,295320979,CP002012.1,Plasmid,17531,26.0852204666,46300
Clostridium botulinum F str. Langeland,441772,152933790,CP000728.1,Genome,3995387,28.3088972357,15563
Clostridium botulinum F str. Langeland,441772,152937426,CP000729.1,Plasmid,17531,26.0852204666,15563
Clostridium botulinum H04402 065,941968,322804278,FR773526.1,Genome,3919740,28.2080954349,74366
Clostridium cellulolyticum H10,394503,219997787,CP001348.1,Genome,4068724,37.4039870977,88711
Clostridium cellulovorans 743B,573061,302575779,CP002160.1,Genome,5262222,31.2094016558,24288
Clostridium cf. saccharolyticum K10,717608,295089810,FP929037.1,Genome,3769775,48.1339337228,51438
Clostridium clariflavum DSM 19732,720554,359823987,CP003065.1,Genome,4897678,35.7171704632,73614
Clostridium difficile 2007855,699033,291482101,FN665654.1,Genome,4179867,28.6717974519,30532
Clostridium difficile 630,272563,115249003,AM180355.1,Genome,4290252,29.0605307101,42539
Clostridium difficile 630,272563,109689082,AM180356.1,Plasmid,7881,27.9025504378,42539
Clostridium difficile BI9,699032,291482254,FN668944.1,Genome,4178227,28.6177845292,80413
Clostridium difficile BI1,699034,291482251,FN668941.1,Genome,4118573,28.6085010512,79801
Clostridium difficile BI1,699034,291482252,FN668942.1,Plasmid,45258,28.0326130187,79801
Clostridium difficile BI1,699034,291482253,FN668943.1,Plasmid,300869,24.9989197957,79801
Clostridium difficile CD196,645462,260207932,FN538970.1,Genome,4110554,28.5631815079,1235
Clostridium difficile CF5,699036,291482099,FN665652.1,Genome,4159517,28.537760514,60605
Clostridium difficile M120,699035,291482100,FN665653.1,Genome,4047729,28.6734857991,43269
Clostridium difficile M68,699037,291482250,FN668375.1,Genome,4308325,28.8761177488,45693
Clostridium difficile R20291,645463,260211391,FN545816.1,Genome,4191339,28.8060211784,15294
Clostridium kluyveri DSM 555,431943,152206095,CP000673.1,Genome,3964618,32.0203611041,91526
Clostridium kluyveri DSM 555,431943,146336987,CP000674.1,Plasmid,59182,33.3716332669,91526
Clostridium kluyveri NBRC 12016,583346,219567067,AP009049.1,Genome,3896121,31.9936418812,19692
Clostridium kluyveri NBRC 12016,583346,219570536,AP009050.1,Plasmid,59182,33.3716332669,19692
Clostridium lentocellum DSM 5427,642492,326539903,CP002582.1,Genome,4714237,34.3246425668,11261
Clostridium ljungdahlii DSM 13528,748727,300433347,CP001666.1,Genome,4630065,31.1059347979,63068
Clostridium novyi NT,386415,118133308,CP000382.1,Genome,2547720,28.8556827281,56383
Clostridium pasteurianum BC1,86416,488448414,CP003261.1,Genome,4990707,30.5767900219,12015
